iter	Passed	Remaining
776	1187	340
777	1188	339
778	1190	337
779	1192	336
780	1193	334
781	1194	333
782	1196	331
783	1198	330
784	1199	328
785	1201	327
786	1202	325
787	1204	323
788	1205	322
789	1206	320
790	1208	319
791	1210	317
792	1211	316
793	1213	314
794	1214	313
795	1215	311
796	1216	309
797	1218	308
798	1219	306
799	1220	305
800	1221	303
801	1222	301
802	1223	300
803	1224	298
804	1225	296
805	1227	295
806	1229	293
807	1230	292
808	1231	290
809	1233	289
810	1234	287
811	1235	286
812	1236	284
813	1238	282
814	1239	281
815	1240	279
816	1241	278
817	1242	276
818	1243	274
819	1245	273
820	1246	271
821	1247	270
822	1248	268
823	1249	266
824	1250	265
825	1251	263
826	1253	262
827	1254	260
828	1255	258
829	1257	257
830	1258	255
831	1259	254
832	1261	252
833	1262	251
834	1263	249
835	1264	248
836	1265	246
837	1266	244
838	1268	243
839	1269	241
840	1270	240
841	1272	238
842	1274	237
843	1275	235
844	1276	234
845	1277	232
846	1279	231
847	1280	229
848	1281	228
849	1283	226
850	1284	224
851	1285	223
852	1286	221
853	1288	220
854	1289	218
855	1290	217
856	1291	215
857	1292	213
858	1293	212
859	1294	210
860	1296	209
861	1297	207
862	1298	206
863	1299	204
864	1301	203
865	1303	201
866	1304	200
867	1305	198
868	1306	196
869	1307	195
870	1309	193
871	1310	192
872	1311	190
873	1313	189
874	1314	187
875	1316	186
876	1317	184
877	1319	183
878	1320	181
879	1321	180
880	1323	178
881	1324	177
882	1325	175
883	1326	174
884	1327	172
885	1329	171
886	1330	169
887	1332	168
888	1333	166
889	1334	164
890	1336	163
891	1337	161
892	1338	160
893	1339	158
894	1341	157
895	1342	155
896	1343	154
897	1345	152
898	1346	151
899	1347	149
900	1349	148
901	1350	146
902	1351	145
903	1352	143
904	1353	142
905	1355	140
906	1356	139
907	1357	137
908	1358	135
909	1359	134
910	1361	133
911	1363	131
912	1364	130
913	1365	128
914	1367	127
915	1368	125
916	1369	123
917	1371	122
918	1372	120
919	1373	119
920	1375	117
921	1376	116
922	1378	114
923	1379	113
924	1380	111
925	1382	110
926	1383	108
927	1384	107
928	1385	105
929	1387	104
930	1388	102
931	1390	101
932	1391	99
933	1392	98
934	1393	96
935	1394	95
936	1396	93
937	1397	92
938	1398	90
939	1399	89
940	1401	87
941	1402	86
942	1403	84
943	1405	83
944	1407	81
945	1408	80
946	1409	78
947	1411	77
948	1412	75
949	1413	74
950	1415	72
951	1416	71
952	1417	69
953	1419	68
954	1420	66
955	1421	65
956	1422	63
957	1424	62
958	1425	60
959	1426	59
960	1427	57
961	1428	56
962	1429	54
963	1431	53
964	1432	51
965	1433	50
966	1435	48
967	1436	47
968	1438	46
969	1439	44
970	1440	43
971	1441	41
972	1442	40
973	1443	38
974	1444	37
975	1446	35
976	1447	34
977	1449	32
978	1450	31
979	1452	29
980	1453	28
981	1454	26
982	1456	25
983	1457	23
984	1458	22
985	1459	20
986	1461	19
987	1462	17
988	1464	16
989	1465	14
